"","MUNICIPIO","iteracion","ranking"
"414","Ixmiquilpan","km,14",41
"415","Ixmiquilpan","km,16",41
"416","Ixmiquilpan","km,18",41
"417","Ixmiquilpan","km,20",41
"418","Ixmiquilpan","km,22",41
"419","Ixmiquilpan","km,24",41
"420","Ixmiquilpan","km,26",41
"421","Jacala","Km,0",36
"422","Jacala","Km,2",56
"423","Jacala","Km,4",58
"424","Jacala","Km,6",58
"425","Jacala","Km,8",58
"426","Jacala","km,10",58
"427","Jacala","km,12",59
"428","Jacala","km,14",59
"429","Jacala","km,16",59
"430","Jacala","km,18",59
"431","Jacala","km,20",59
"432","Jacala","km,22",59
"433","Jacala","km,24",59
"434","Jacala","km,26",59
"435","Jaltocan","Km,0",75
"436","Jaltocan","Km,2",40
"437","Jaltocan","Km,4",47
"438","Jaltocan","Km,6",51
"439","Jaltocan","Km,8",52
"440","Jaltocan","km,10",55
"441","Jaltocan","km,12",55
"442","Jaltocan","km,14",55
"443","Jaltocan","km,16",55
"444","Jaltocan","km,18",55
"445","Jaltocan","km,20",55
"446","Jaltocan","km,22",55
"447","Jaltocan","km,24",55
"448","Jaltocan","km,26",55
"449","Juarez Hidalgo","Km,0",76
"450","Juarez Hidalgo","Km,2",63
"451","Juarez Hidalgo","Km,4",65
"452","Juarez Hidalgo","Km,6",60
"453","Juarez Hidalgo","Km,8",59
"454","Juarez Hidalgo","km,10",59
"455","Juarez Hidalgo","km,12",58
"456","Juarez Hidalgo","km,14",58
"457","Juarez Hidalgo","km,16",58
"458","Juarez Hidalgo","km,18",58
"459","Juarez Hidalgo","km,20",58
"460","Juarez Hidalgo","km,22",58
"461","Juarez Hidalgo","km,24",58
"462","Juarez Hidalgo","km,26",58
"463","Lolotla","Km,0",68
"464","Lolotla","Km,2",76
"465","Lolotla","Km,4",76
"466","Lolotla","Km,6",75
"467","Lolotla","Km,8",75
"468","Lolotla","km,10",75
"469","Lolotla","km,12",75
"470","Lolotla","km,14",75
"471","Lolotla","km,16",75
"472","Lolotla","km,18",75
"473","Lolotla","km,20",75
"474","Lolotla","km,22",75
"475","Lolotla","km,24",75
"476","Lolotla","km,26",75
"477","Metepec","Km,0",20
"478","Metepec","Km,2",18
"479","Metepec","Km,4",17
"480","Metepec","Km,6",18
"481","Metepec","Km,8",18
"482","Metepec","km,10",18
"483","Metepec","km,12",19
"484","Metepec","km,14",19
"485","Metepec","km,16",19
"486","Metepec","km,18",19
"487","Metepec","km,20",19
"488","Metepec","km,22",19
"489","Metepec","km,24",19
"490","Metepec","km,26",19
"491","SAM","Km,0",35
"492","SAM","Km,2",42
"493","SAM","Km,4",48
"494","SAM","Km,6",50
"495","SAM","Km,8",50
"496","SAM","km,10",51
"497","SAM","km,12",52
"498","SAM","km,14",52
"499","SAM","km,16",53
"500","SAM","km,18",53
"501","SAM","km,20",53
"502","SAM","km,22",53
"503","SAM","km,24",53
"504","SAM","km,26",53
"505","Metztitlan","Km,0",40
"506","Metztitlan","Km,2",60
"507","Metztitlan","Km,4",62
"508","Metztitlan","Km,6",62
"509","Metztitlan","Km,8",62
"510","Metztitlan","km,10",61
"511","Metztitlan","km,12",62
"512","Metztitlan","km,14",62
"513","Metztitlan","km,16",62
"514","Metztitlan","km,18",62
"515","Metztitlan","km,20",62
"516","Metztitlan","km,22",62
"517","Metztitlan","km,24",62
"518","Metztitlan","km,26",62
"519","Mineral Del Chico","Km,0",80
"520","Mineral Del Chico","Km,2",83
"521","Mineral Del Chico","Km,4",83
"522","Mineral Del Chico","Km,6",83
"523","Mineral Del Chico","Km,8",83
"524","Mineral Del Chico","km,10",83
"525","Mineral Del Chico","km,12",83
"526","Mineral Del Chico","km,14",83
"527","Mineral Del Chico","km,16",83
"528","Mineral Del Chico","km,18",83
"529","Mineral Del Chico","km,20",83
"530","Mineral Del Chico","km,22",83
"531","Mineral Del Chico","km,24",83
"532","Mineral Del Chico","km,26",83
"533","Mineral Del Monte","Km,0",82
"534","Mineral Del Monte","Km,2",43
"535","Mineral Del Monte","Km,4",39
"536","Mineral Del Monte","Km,6",37
"537","Mineral Del Monte","Km,8",37
"538","Mineral Del Monte","km,10",38
"539","Mineral Del Monte","km,12",38
"540","Mineral Del Monte","km,14",39
"541","Mineral Del Monte","km,16",39
"542","Mineral Del Monte","km,18",39
"543","Mineral Del Monte","km,20",39
"544","Mineral Del Monte","km,22",39
"545","Mineral Del Monte","km,24",39
"546","Mineral Del Monte","km,26",39
"547","La Mision","Km,0",77
"548","La Mision","Km,2",79
"549","La Mision","Km,4",80
"550","La Mision","Km,6",80
"551","La Mision","Km,8",79
"552","La Mision","km,10",79
"553","La Mision","km,12",79
"554","La Mision","km,14",79
"555","La Mision","km,16",79
"556","La Mision","km,18",79
"557","La Mision","km,20",79
"558","La Mision","km,22",79
"559","La Mision","km,24",79
"560","La Mision","km,26",79
"561","Mixquiahuala","Km,0",14
"562","Mixquiahuala","Km,2",26
